20012445,cg_us_ttd,ECF,SERVICE,3468337910,NEWPLUS
20012452,cg_us_ttd,ECF,SERVICE,3468337910,NEWPLUS
20012448,cg_us_ttd,ECF,SERVICE,3468337910,NEWPLUS
20012447,cg_us_ttd,ECF,SERVICE,3468337910,NEWPLUS
20012446,cg_us_ttd,ECF,SERVICE,3468337910,NEWPLUS
20012449,cg_us_ttcom,TTCOM,CG_STANDARD,3468337910,NEWPLUS
20012453,cg_us_ttcom,TTCOM,CG_STANDARD,3468337910,NEWPLUS
20012443,cg_us_ttcom,TTCOM,CG_STANDARD,3468337910,NEWPLUS
20012450,cg_us_ttcom,TTCOM,CG_STANDARD,3468337910,NEWPLUS
20012455,cg_us_ttcom,TTCOM,CG_STANDARD,3468337910,NEWPLUS
20012445,cg_us_ttcom,TTCOM,CG_STANDARD,3468337910,NEWPLUS
20012452,cg_us_ttcom,TTCOM,CG_STANDARD,3468337910,NEWPLUS